   107/299     7.42G   0.02141   0.01635  0.002345    0.0401       129       640    0.9769    0.9769    0.9852    0.7964   0.03646   0.05778   0.01071
   108/299     7.42G   0.02188   0.01567  0.002099   0.03965        30       640    0.9796    0.9769    0.9855    0.7825   0.03637   0.05732    0.0104
   109/299     7.42G   0.02155   0.01613  0.002105   0.03978        87       640    0.9763    0.9819     0.985    0.7855   0.03641   0.05537   0.01021
   110/299     7.42G   0.02148    0.0164  0.002057   0.03994       144       640    0.9805    0.9789    0.9873    0.7854   0.03764   0.05613   0.01033
   111/299     7.42G   0.02187   0.01711  0.002085   0.04107         9       640    0.9768    0.9816    0.9867    0.7862   0.03564   0.05839   0.01029
   112/299     7.42G   0.02162   0.01636  0.001983   0.03997        78       640     0.978    0.9766    0.9848    0.7886   0.03639   0.05952   0.01048
   113/299     7.42G   0.02081   0.01642  0.002008   0.03924       100       640    0.9767    0.9805    0.9851     0.796   0.03479   0.06105    0.0106
   114/299     7.42G   0.02054   0.01592  0.002195   0.03866        91       640    0.9721    0.9794    0.9856    0.7895   0.03495   0.06122   0.01119
   115/299     7.42G   0.02032   0.01669  0.002423   0.03944        40       640    0.9746    0.9787    0.9858     0.792    0.0348   0.05964   0.01084
   116/299     7.42G   0.02026   0.01698  0.002009   0.03924        72       640     0.982     0.971    0.9858    0.7907   0.03465   0.05987   0.01049
   117/299     7.42G   0.02112   0.01695  0.002204   0.04028        42       640    0.9722    0.9809    0.9853     0.792   0.03485    0.0595   0.01044
   118/299     7.42G   0.02104   0.01556  0.002567   0.03916        61       640    0.9769    0.9811    0.9862    0.7984   0.03533   0.05914   0.01052
   119/299     7.42G   0.02142   0.01664  0.002408   0.04047       129       640    0.9752     0.981    0.9868    0.7813   0.03729   0.05815   0.01058
   120/299     7.42G   0.02204   0.01512   0.00213    0.0393        47       640    0.9709    0.9794    0.9853    0.7946   0.03642   0.05902   0.01053
   121/299     7.42G   0.02056   0.01483  0.002134   0.03751        69       640    0.9772     0.975    0.9858    0.7973   0.03593   0.05991   0.01032
   122/299     7.42G   0.02116   0.01529  0.002038    0.0385         7       640     0.978      0.98    0.9858    0.7943   0.03474   0.06004   0.01014
   123/299     7.42G   0.02159   0.01543  0.001823   0.03885        33       640    0.9801    0.9763    0.9854    0.7952   0.03552   0.05987   0.01008
   124/299     7.42G   0.02024   0.01567  0.001868   0.03778        38       640    0.9761    0.9753    0.9885    0.8028   0.03513   0.05911   0.01003
   125/299     7.42G   0.02052   0.01529  0.001576   0.03738        39       640    0.9726    0.9779    0.9874       0.8   0.03482   0.05941   0.01003
   126/299     7.42G   0.01955   0.01412   0.00159   0.03526        91       640     0.973      0.97    0.9875    0.7984   0.03535    0.0588   0.01028
   127/299     7.42G   0.02082   0.01653  0.001763   0.03912        79       640    0.9761    0.9677    0.9876    0.8036   0.03481   0.05854   0.00995
   128/299     7.42G   0.02133   0.01539  0.001732   0.03845        48       640    0.9729    0.9793    0.9862       0.8   0.03537   0.05883  0.009519
   129/299     7.42G    0.0197   0.01723  0.001872    0.0388         5       640    0.9759    0.9804    0.9879    0.8041   0.03546   0.05877  0.009479
   130/299     7.42G   0.02007   0.01549  0.001783   0.03734        94       640    0.9807    0.9781    0.9869    0.8014   0.03477   0.05888   0.00944
   131/299     7.42G   0.02021   0.01458  0.001774   0.03656        56       640    0.9745    0.9827    0.9874    0.8029   0.03427   0.05963  0.009491
   132/299     7.42G   0.01948   0.01522  0.001842   0.03655       104       640    0.9751    0.9787    0.9876    0.8051   0.03423   0.05799  0.009523
   133/299     7.42G   0.02021   0.01546  0.001739   0.03741        34       640     0.973    0.9836     0.987    0.8022   0.03373   0.05807  0.009346
   134/299     7.42G   0.01981   0.01691  0.001949   0.03866       132       640    0.9728    0.9834    0.9866    0.8051   0.03379    0.0567  0.009113
   135/299     7.42G   0.01954    0.0159  0.001585   0.03703        94       640    0.9739    0.9806    0.9871    0.7973   0.03505   0.05641   0.00918
   136/299     7.42G    0.0197   0.01431  0.001855   0.03587       132       640    0.9726    0.9801    0.9883    0.8039   0.03467   0.05931  0.009235
   137/299     7.42G   0.02018   0.01453  0.001938   0.03665       179       640    0.9764    0.9809    0.9882    0.8048   0.03431   0.06037  0.009223
   138/299     7.42G   0.01967   0.01575  0.001766   0.03719        24       640    0.9752    0.9807    0.9883    0.8076   0.03345    0.0606  0.009282
